#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7012
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.52000 0.0016219600 0.0193652300 0.0198048400 0.9592079700 0.0000457057 0.0001399673 0.0001380607 0.0001898433 2.6412707755 0.0332859862 1.4336357447 0.0586904546
0.53000 0.0015872800 0.0187561500 0.0193468500 0.9603097200 0.0000377220 0.0001251864 0.0001408323 0.0001870587 2.6260957597 0.0384440053 1.4232177757 0.0735523412
0.54000 0.0015362400 0.0181226800 0.0189336000 0.9614074800 0.0000374999 0.0001259425 0.0001367162 0.0001834424 2.6107543572 0.0389823178 1.3924099554 0.0744719899
0.55000 0.0014950700 0.0175731300 0.0184561400 0.9624756600 0.0000429454 0.0001330803 0.0001313746 0.0001839589 2.5949622922 0.0330453834 1.3652566189 0.0610649281
0.56000 0.0014591600 0.0170125700 0.0180232600 0.9635050100 0.0000461006 0.0001331148 0.0001354312 0.0001864720 2.5720072714 0.0348367495 1.3298592542 0.0631491259
0.57000 0.0014218100 0.0165035900 0.0176239200 0.9644506800 0.0000341147 0.0001301629 0.0001351232 0.0001977490 2.5563325353 0.0360919308 1.3063930476 0.0721120881
0.58000 0.0013919700 0.0159658200 0.0172481900 0.9653940200 0.0000379751 0.0001333112 0.0001376841 0.0001889122 2.5374180497 0.0354933163 1.2818180082 0.0664927050
0.59000 0.0013498600 0.0154710600 0.0168615200 0.9663175600 0.0000344841 0.0001287918 0.0001246168 0.0001682587 2.5286607670 0.0331736242 1.2695511418 0.0668688440
0.60000 0.0013189600 0.0150005300 0.0164983200 0.9671821900 0.0000346506 0.0001147349 0.0001188029 0.0001607166 2.5021659863 0.0322679675 1.2307248547 0.0664096776
0.61000 0.0012845000 0.0145599900 0.0161398300 0.9680156800 0.0000360769 0.0001144470 0.0001246163 0.0001748153 2.4907191940 0.0309058203 1.2109974810 0.0670148567
0.62000 0.0012523200 0.0141289900 0.0158072600 0.9688114300 0.0000390777 0.0001297944 0.0001206310 0.0001762657 2.4785654523 0.0326812591 1.1896004717 0.0645820652
0.63000 0.0012229700 0.0137144000 0.0154720800 0.9695905500 0.0000357340 0.0001119995 0.0001205046 0.0001607473 2.4642725501 0.0336665916 1.1618357020 0.0662765769
0.64000 0.0011880000 0.0132773000 0.0151538000 0.9703809000 0.0000316052 0.0001051845 0.0001276944 0.0001699950 2.4463186399 0.0309646560 1.1343178789 0.0630214549
0.65000 0.0011634300 0.0129082100 0.0148135300 0.9711148300 0.0000356383 0.0001043867 0.0001139341 0.0001653140 2.4406366716 0.0322084384 1.1245910832 0.0673501206
0.66000 0.0011342900 0.0125315000 0.0145313200 0.9718028900 0.0000332004 0.0001108243 0.0001158668 0.0001718445 2.4183799343 0.0328594883 1.0858928182 0.0628386149
0.67000 0.0011111700 0.0121641700 0.0142348400 0.9724898200 0.0000305604 0.0001019901 0.0001323092 0.0001805203 2.4166796402 0.0334402835 1.0846795997 0.0674617176
0.68000 0.0010840000 0.0118251100 0.0139358300 0.9731550600 0.0000335746 0.0001041995 0.0001286992 0.0001687034 2.4063223803 0.0322904496 1.0654369120 0.0715995925
0.69000 0.0010604400 0.0114602900 0.0136592700 0.9738200000 0.0000319995 0.0001047840 0.0001124101 0.0001651658 2.3903773341 0.0290003616 1.0320007708 0.0608571038
0.70000 0.0010322000 0.0111498200 0.0133714900 0.9744464900 0.0000337358 0.0000987581 0.0001038912 0.0001393172 2.3751505444 0.0307669492 1.0144314764 0.0662940103
0.71000 0.0010088500 0.0108359200 0.0131142800 0.9750409500 0.0000278377 0.0001044085 0.0001259772 0.0001763544 2.3713063401 0.0311621320 1.0016083477 0.0639900166
0.72000 0.0009818700 0.0105395700 0.0128706700 0.9756078900 0.0000337790 0.0001060633 0.0001094937 0.0001528344 2.3610064340 0.0304734237 0.9908748183 0.0714604658
0.73000 0.0009576900 0.0102399600 0.0126203300 0.9761820200 0.0000318150 0.0000963907 0.0001194975 0.0001526487 2.3480915641 0.0296568470 0.9636479792 0.0693480254
0.74000 0.0009378000 0.0099468700 0.0124021300 0.9767132000 0.0000315966 0.0000896371 0.0001096041 0.0001482221 2.3394321736 0.0302421159 0.9504922743 0.0690113731
0.75000 0.0009221500 0.0096729200 0.0121436900 0.9772612400 0.0000336225 0.0000944928 0.0001133715 0.0001418992 2.3271879561 0.0286456662 0.9316426640 0.0644524110
0.76000 0.0008956500 0.0094012800 0.0119123400 0.9777907300 0.0000314358 0.0000855483 0.0001056744 0.0001297511 2.3214751281 0.0311301188 0.9203291148 0.0675207558
0.77000 0.0008653800 0.0091437200 0.0116979600 0.9782929400 0.0000297833 0.0000949206 0.0001093343 0.0001374675 2.3135630149 0.0315166172 0.8970736911 0.0614215535
