#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7000
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.54000 0.0006260300 0.0141267100 0.1577000400 0.8275472200 0.0000217504 0.0001415938 0.0003714486 0.0003862553 2.1291311147 0.0301942855 0.6998627930 0.1024404057
0.55000 0.0006161800 0.0137487400 0.1545680000 0.8310670800 0.0000220836 0.0001289278 0.0003847278 0.0003988438 2.1226626312 0.0316813721 0.6858438173 0.1020067715
0.56000 0.0006018000 0.0133503100 0.1515190600 0.8345288300 0.0000231665 0.0001231882 0.0003311400 0.0003438856 2.1169756293 0.0263415420 0.6663808842 0.0993409403
0.57000 0.0005881000 0.0129738400 0.1485719000 0.8378661600 0.0000235790 0.0001130629 0.0003416197 0.0003640778 2.1111783021 0.0251109859 0.6477276742 0.0844921721
0.58000 0.0005776500 0.0126361900 0.1456608100 0.8411253500 0.0000264828 0.0001102162 0.0003363512 0.0003400762 2.1083476743 0.0239393779 0.6248278467 0.0778045455
0.59000 0.0005645300 0.0122538300 0.1429537600 0.8442278800 0.0000226468 0.0000928734 0.0003476308 0.0003467934 2.1067010338 0.0240130045 0.6298210427 0.0912853804
0.60000 0.0005557400 0.0119197500 0.1401136800 0.8474108300 0.0000246341 0.0001220810 0.0003668703 0.0003814129 2.1013377562 0.0268743990 0.6133302730 0.0954296994
0.61000 0.0005421100 0.0115920800 0.1375597000 0.8503061100 0.0000232874 0.0001020563 0.0003153158 0.0003187441 2.0994469867 0.0247238130 0.6093167111 0.0843579401
0.62000 0.0005302400 0.0112738600 0.1349445100 0.8532513900 0.0000232935 0.0001053455 0.0003498863 0.0003598382 2.0919476720 0.0242949336 0.5849526455 0.0858860646
0.63000 0.0005179100 0.0109783900 0.1324633200 0.8560403800 0.0000222157 0.0000937394 0.0003469207 0.0003624275 2.0894458280 0.0243173573 0.5812955241 0.0869602409
