#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7002
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.76000 0.0004250800 0.0088393500 0.0562286900 0.9345068800 0.0000185754 0.0001050666 0.0002172841 0.0002226275 2.0784000750 0.0254648876 0.5448141154 0.0911912091
0.77000 0.0004104400 0.0086266700 0.0552715000 0.9356913900 0.0000202910 0.0000894791 0.0002375774 0.0002468824 2.0744924785 0.0277233139 0.5303269384 0.0951572478
0.78000 0.0004023500 0.0083775500 0.0542434300 0.9369766700 0.0000189856 0.0000918558 0.0002493938 0.0002663399 2.0698493137 0.0228370681 0.5131787278 0.0831109055
0.79000 0.0003944200 0.0081370600 0.0533381300 0.9381303900 0.0000189525 0.0000823296 0.0002056338 0.0002179804 2.0676071236 0.0288461176 0.4986319328 0.0996437487
0.80000 0.0003897900 0.0079576000 0.0524202900 0.9392323200 0.0000196017 0.0000937615 0.0002435586 0.0002558726 2.0643474383 0.0214531320 0.4860514114 0.0755098039
0.81000 0.0003782400 0.0077436000 0.0514897200 0.9403884400 0.0000196490 0.0000785514 0.0001828912 0.0002053665 2.0664498681 0.0232901132 0.5064973729 0.0881859357
0.82000 0.0003732400 0.0075442400 0.0506111700 0.9414713500 0.0000193632 0.0000873781 0.0002137465 0.0002353449 2.0605718123 0.0273256716 0.4864986485 0.0930802037
0.83000 0.0003644000 0.0073466900 0.0497171900 0.9425717200 0.0000186932 0.0000816453 0.0002292986 0.0002394571 2.0597649449 0.0281884312 0.4780114063 0.1038908803
0.84000 0.0003565800 0.0071692500 0.0488671200 0.9436070500 0.0000193762 0.0000733845 0.0002112760 0.0002381205 2.0611384238 0.0258545565 0.4908168445 0.0980255759
0.85000 0.0003469700 0.0069542600 0.0480439800 0.9446547900 0.0000197829 0.0000855014 0.0002038511 0.0002161076 2.0566810744 0.0260509149 0.4767706581 0.1062451377
0.86000 0.0003443800 0.0067808000 0.0472418000 0.9456330200 0.0000184395 0.0000791627 0.0002138325 0.0002296842 2.0508524496 0.0227818178 0.4483900818 0.0946485590
0.87000 0.0003365700 0.0066089300 0.0464838100 0.9465706900 0.0000176167 0.0000760617 0.0002000373 0.0002118922 2.0500542582 0.0285407755 0.4457076089 0.1097220979
0.88000 0.0003293100 0.0064502400 0.0457068500 0.9475136000 0.0000197232 0.0000794195 0.0001914979 0.0002162754 2.0417434154 0.0225660924 0.4143773179 0.0885252457
0.89000 0.0003231200 0.0062786200 0.0449535500 0.9484447100 0.0000195894 0.0000767666 0.0001733847 0.0001867806 2.0487398678 0.0238694606 0.4405762295 0.0914439859
0.90000 0.0003189100 0.0061325500 0.0442430300 0.9493055100 0.0000165182 0.0000818865 0.0001933783 0.0001963435 2.0442490795 0.0285963509 0.4180144958 0.1080470392
0.91000 0.0003082800 0.0059652400 0.0435193000 0.9502071800 0.0000178371 0.0000805994 0.0002011727 0.0002209018 2.0426688991 0.0209351285 0.4115554496 0.0783516346
0.92000 0.0003051200 0.0058238300 0.0428360700 0.9510349800 0.0000167665 0.0000730186 0.0001719894 0.0001936026 2.0404212466 0.0244239029 0.4141690577 0.0920548442
0.93000 0.0002980800 0.0056772500 0.0421046700 0.9519200000 0.0000150492 0.0000755568 0.0002024640 0.0002133720 2.0376458547 0.0210722446 0.3940985278 0.0805823261
0.94000 0.0002895100 0.0055431200 0.0414579500 0.9527094200 0.0000162241 0.0000748805 0.0002013428 0.0002045287 2.0398435562 0.0247540693 0.4039737268 0.0962671451
0.95000 0.0002843500 0.0053961600 0.0407577800 0.9535617100 0.0000168351 0.0000723267 0.0002049338 0.0002176724 2.0318884374 0.0238165394 0.3765399837 0.0945356702
0.96000 0.0002830400 0.0052593000 0.0401336000 0.9543240600 0.0000149888 0.0000741156 0.0001734759 0.0001978335 2.0332819583 0.0234110450 0.3812295873 0.0904096274
0.97000 0.0002732900 0.0051304200 0.0394488900 0.9551474000 0.0000158811 0.0000818587 0.0001838138 0.0001940077 2.0309689369 0.0222235512 0.3717320891 0.0877849744
0.98000 0.0002692300 0.0050047300 0.0388757400 0.9558503000 0.0000162530 0.0000589495 0.0001679219 0.0001818067 2.0296051369 0.0222877358 0.3718770914 0.0927617324
0.99000 0.0002615200 0.0048903700 0.0382580400 0.9565900700 0.0000180921 0.0000681707 0.0002047308 0.0002152924 2.0281507264 0.0220721998 0.3605543001 0.0924718050
1.00000 0.0002574900 0.0047597500 0.0376713000 0.9573114600 0.0000159864 0.0000692271 0.0002105426 0.0002203379 2.0302197808 0.0243029226 0.3685641037 0.0988290003
