#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.3
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1002
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.58000 0.0072805000 0.0942240000 0.8984955000 0.0002843363 0.0007910646 0.0007739133 1.7870690968 0.0422537806 1.2141255382 0.0925695894
0.59000 0.0071330000 0.0921680000 0.9006990000 0.0002368455 0.0009124265 0.0009067286 1.7691936076 0.0397548684 1.1753034957 0.0794389031
0.60000 0.0070945000 0.0898805000 0.9030250000 0.0002421716 0.0009575543 0.0010264835 1.7542285987 0.0477372727 1.1430657176 0.0881279768
0.61000 0.0068975000 0.0879540000 0.9051485000 0.0002273850 0.0010672611 0.0010779624 1.7397864416 0.0321983563 1.1430942237 0.0793097741
0.62000 0.0068550000 0.0863305000 0.9068145000 0.0002070469 0.0010549756 0.0011295666 1.7156270239 0.0397747482 1.0916372469 0.0774932418
0.63000 0.0066245000 0.0847420000 0.9086335000 0.0002415188 0.0009098155 0.0008841307 1.7064651062 0.0456681697 1.0790690602 0.0789210632
0.64000 0.0065360000 0.0826895000 0.9107745000 0.0003711490 0.0010324650 0.0012500883 1.7014843568 0.0361196938 1.0743399412 0.0580583377
0.65000 0.0063845000 0.0809575000 0.9126580000 0.0001914343 0.0008255006 0.0008914069 1.6770784419 0.0383831179 1.0462552478 0.0706826506
0.66000 0.0063105000 0.0793830000 0.9143065000 0.0001914893 0.0007274114 0.0007746461 1.6832370641 0.0459539044 1.0685427371 0.0821690876
0.67000 0.0062005000 0.0775115000 0.9162880000 0.0001940015 0.0010693937 0.0010744624 1.6515727234 0.0502664844 1.0096449113 0.1132912314
0.68000 0.0061735000 0.0758325000 0.9179940000 0.0002691952 0.0006987950 0.0007576654 1.6481202164 0.0440650075 0.9989372460 0.0879405038
0.69000 0.0060120000 0.0747465000 0.9192415000 0.0002317576 0.0008226739 0.0008603443 1.6380876437 0.0322044507 0.9820382622 0.0640377303
0.70000 0.0059890000 0.0730820000 0.9209290000 0.0003114972 0.0009253142 0.0008939734 1.6339677120 0.0344537213 0.9881346052 0.0675971114
0.71000 0.0058940000 0.0713245000 0.9227815000 0.0002638460 0.0007274865 0.0007879038 1.6207159990 0.0418966847 0.9768748655 0.0789518841
0.72000 0.0056675000 0.0699080000 0.9244245000 0.0002296880 0.0008225928 0.0008499937 1.6223382959 0.0361154937 0.9715003570 0.0773532232
0.73000 0.0056165000 0.0683915000 0.9259920000 0.0001935615 0.0006684410 0.0007213773 1.5932955948 0.0331972073 0.9462637630 0.0775276670
0.74000 0.0055450000 0.0671730000 0.9272820000 0.0001601151 0.0007811806 0.0007522849 1.6100350201 0.0382505185 0.9426834727 0.0722375803
0.75000 0.0055295000 0.0659015000 0.9285690000 0.0002642462 0.0011246158 0.0012268355 1.5762834031 0.0455674016 0.9132499444 0.0784399799
